time,FID,etof,acres
2018-12-01,077_000063,0.0,85.433
2018-12-01,077_000038,0.0,82.327
2018-12-01,077_000039,0.0,63.029
2018-12-01,077_000040,0.0,66.515
2018-12-01,077_000062,0.003,63.009
2018-12-01,077_000066,0.0,111.285
2018-12-01,077_000049,0.0,19.941
2018-12-01,077_000050,0.002,28.331
2019-01-01,077_000017,0.0,35.512
2019-01-01,077_000018,0.0,7.79
2019-01-01,077_000019,0.008,26.043
2019-01-01,077_000020,0.0,18.267
2019-01-01,077_000063,0.0,85.433
2019-01-01,077_000038,0.0,82.327
2019-01-01,077_000039,0.0,63.029
2019-01-01,077_000040,0.0,66.515
2019-01-01,077_000062,0.0,63.009
2019-01-01,077_000066,0.0,111.285
2019-01-01,077_000049,0.0,19.941
2019-01-01,077_000050,0.0,28.331
2019-02-01,077_000017,0.0,35.512
2019-02-01,077_000018,0.0,7.79
2019-02-01,077_000019,0.0,26.043
2019-02-01,077_000020,0.0,18.267
2019-02-01,077_000063,0.0,85.433
2019-02-01,077_000038,0.001,82.327
2019-02-01,077_000039,0.017,63.029
2019-02-01,077_000040,0.0,66.515
2019-02-01,077_000062,0.0,63.009
2019-02-01,077_000066,0.0,111.285
2019-02-01,077_000049,0.0,19.941
2019-02-01,077_000050,0.0,28.331
2019-03-01,077_000017,0.085,35.512
2019-03-01,077_000018,0.083,7.79
2019-03-01,077_000019,0.048,26.043
2019-03-01,077_000020,0.089,18.267
2019-03-01,077_000063,0.088,85.433
2019-03-01,077_000038,0.093,82.327
2019-03-01,077_000039,0.075,63.029
2019-03-01,077_000040,0.066,66.515
2019-03-01,077_000062,0.078,63.009
2019-03-01,077_000066,0.077,111.285
2019-03-01,077_000049,0.087,19.941
2019-03-01,077_000050,0.084,28.331
2019-04-01,077_000017,0.51,35.512
2019-04-01,077_000018,0.478,7.79
2019-04-01,077_000019,0.206,26.043
2019-04-01,077_000020,0.547,18.267
2019-04-01,077_000063,0.508,85.433
2019-04-01,077_000038,0.64,82.327
2019-04-01,077_000039,0.438,63.029
2019-04-01,077_000040,0.4,66.515
2019-04-01,077_000062,0.424,63.009
2019-04-01,077_000066,0.462,111.285
2019-04-01,077_000049,0.276,19.941
2019-04-01,077_000050,0.296,28.331
2019-05-01,077_000017,0.708,35.512
2019-05-01,077_000018,0.628,7.79
2019-05-01,077_000019,0.506,26.043
2019-05-01,077_000020,0.743,18.267
2019-05-01,077_000063,0.709,85.433
2019-05-01,077_000038,0.752,82.327
2019-05-01,077_000039,0.712,63.029
2019-05-01,077_000040,0.63,66.515
2019-05-01,077_000062,0.747,63.009
2019-05-01,077_000066,0.655,111.285
2019-05-01,077_000049,0.78,19.941
2019-05-01,077_000050,0.777,28.331
2019-06-01,077_000017,1.082,35.512
2019-06-01,077_000018,0.775,7.79
2019-06-01,077_000019,0.851,26.043
2019-06-01,077_000020,0.933,18.267
2019-06-01,077_000063,0.932,85.433
2019-06-01,077_000038,1.043,82.327
2019-06-01,077_000039,1.099,63.029
2019-06-01,077_000040,0.965,66.515
2019-06-01,077_000062,1.076,63.009
2019-06-01,077_000066,1.031,111.285
2019-06-01,077_000049,0.959,19.941
2019-06-01,077_000050,1.012,28.331
2019-07-01,077_000017,0.92,35.512
2019-07-01,077_000018,0.678,7.79
2019-07-01,077_000019,0.694,26.043
2019-07-01,077_000020,0.86,18.267
2019-07-01,077_000063,0.795,85.433
2019-07-01,077_000038,0.988,82.327
2019-07-01,077_000039,0.888,63.029
2019-07-01,077_000040,0.98,66.515
2019-07-01,077_000062,0.974,63.009
2019-07-01,077_000066,1.026,111.285
2019-07-01,077_000049,0.688,19.941
2019-07-01,077_000050,0.871,28.331
2019-08-01,077_000017,0.79,35.512
2019-08-01,077_000018,0.486,7.79
2019-08-01,077_000019,0.472,26.043
2019-08-01,077_000020,0.77,18.267
2019-08-01,077_000063,0.63,85.433
2019-08-01,077_000038,0.866,82.327
2019-08-01,077_000039,0.875,63.029
2019-08-01,077_000040,0.848,66.515
2019-08-01,077_000062,0.88,63.009
2019-08-01,077_000066,0.901,111.285
2019-08-01,077_000049,0.623,19.941
2019-08-01,077_000050,0.698,28.331
2019-09-01,077_000017,0.904,35.512
2019-09-01,077_000018,0.626,7.79
2019-09-01,077_000019,0.571,26.043
2019-09-01,077_000020,0.806,18.267
2019-09-01,077_000063,0.672,85.433
2019-09-01,077_000038,0.847,82.327
2019-09-01,077_000039,0.774,63.029
2019-09-01,077_000040,0.816,66.515
2019-09-01,077_000062,0.92,63.009
2019-09-01,077_000066,0.891,111.285
2019-09-01,077_000049,0.627,19.941
2019-09-01,077_000050,0.763,28.331
2019-10-01,077_000017,0.806,35.512
2019-10-01,077_000018,0.856,7.79
2019-10-01,077_000019,0.787,26.043
2019-10-01,077_000020,0.76,18.267
2019-10-01,077_000063,0.798,85.433
2019-10-01,077_000038,0.762,82.327
2019-10-01,077_000039,0.83,63.029
2019-10-01,077_000040,0.889,66.515
2019-10-01,077_000062,0.725,63.009
2019-10-01,077_000066,0.855,111.285
2019-10-01,077_000049,0.758,19.941
2019-10-01,077_000050,0.693,28.331
2019-11-01,077_000017,0.65,35.512
2019-11-01,077_000018,0.732,7.79
2019-11-01,077_000019,0.688,26.043
2019-11-01,077_000020,0.677,18.267
2019-11-01,077_000063,0.676,85.433
2019-11-01,077_000038,0.557,82.327
2019-11-01,077_000039,0.647,63.029
2019-11-01,077_000040,0.657,66.515
2019-11-01,077_000062,0.592,63.009
2019-11-01,077_000066,0.647,111.285
2019-11-01,077_000049,0.659,19.941
2019-11-01,077_000050,0.573,28.331
2019-12-01,077_000017,0.449,35.512
2019-12-01,077_000018,0.343,7.79
2019-12-01,077_000019,0.517,26.043
2019-12-01,077_000020,0.592,18.267
2019-12-01,077_000063,0.449,85.433
2019-12-01,077_000038,0.318,82.327
2019-12-01,077_000039,0.355,63.029
2019-12-01,077_000040,0.364,66.515
2019-12-01,077_000062,0.571,63.009
2019-12-01,077_000066,0.333,111.285
2019-12-01,077_000049,0.6,19.941
2019-12-01,077_000050,0.511,28.331
2020-01-01,077_000017,0.41,35.512
2020-01-01,077_000018,0.203,7.79
2020-01-01,077_000019,0.419,26.043
2020-01-01,077_000020,0.524,18.267
2020-01-01,077_000063,0.491,85.433
2020-01-01,077_000038,0.275,82.327
2020-01-01,077_000039,0.219,63.029
2020-01-01,077_000040,0.37,66.515
